0 0 0
0.1 -0.0101047 0.0777462 0.0202066
0.2 -0.0181934 0.0612632 0.036419
0.3 -0.0244717 -0.0131696 0.0490773
0.4 -0.0291307 0.0082693 0.0585836
0.5 -0.0323475 0.0133439 0.0653044
0.6 -0.0342863 0.141448 0.0695738
0.7 -0.0350991 0.149745 0.0716957
0.8 -0.0349264 0.0965291 0.0719463
0.9 -0.0338977 0.0447973 0.0705761
1 -0.0321324 0.193574 0.0678122
1.1 -0.0297403 0.0510003 0.0638599
1.2 -0.0268222 0.0472697 0.0589046
1.3 -0.0234702 0.13436 0.0531135
1.4 -0.0197687 0.101694 0.0466367
1.5 -0.0157945 0.0400506 0.0396091
1.6 -0.0116175 0.0801865 0.0321514
1.7 -0.00730102 0.153022 0.0243711
1.8 -0.00290223 0.11518 0.0163641
1.9 0.00152737 0.0871636 0.0082154
2 0.00594164 -0.00313649 0
2.1 0.0102994 0.0928242 -0.00821609
2.2 0.0145642 0.016207 -0.0163751
2.3 0.0187037 -0.014792 -0.0244267
2.4 0.0226899 0.0696427 -0.0323276
2.5 0.0264981 0.0410179 -0.0400403
2.6 0.0301073 0.0803333 -0.0475332
2.7 0.0334999 -0.0515486 -0.0547797
2.8 0.0366607 -0.110397 -0.0617576
2.9 0.0395778 0.00242395 -0.0684492
3 0.0422414 0.0388766 -0.0748401
3.1 0.0446442 -0.00255046 -0.0809195
3.2 0.046781 -0.062853 -0.0866792
3.3 0.0486484 -0.0638728 -0.0921142
3.4 0.050245 0.00388721 -0.0972213
3.5 0.0515708 -0.0473467 -0.102
3.6 0.0526272 -0.052186 -0.10645
3.7 0.0534173 -0.0622139 -0.110576
3.8 0.0539449 -0.108462 -0.11438
3.9 0.0542151 0.0323775 -0.117869
4 0.054234 -0.0286121 -0.121048
4.1 0.0540085 -0.123732 -0.123924
4.2 0.0535461 -0.121793 -0.126505
4.3 0.0528552 0.0182525 -0.128801
4.4 0.0519444 0.0158786 -0.130819
4.5 0.0508231 -0.00847853 -0.13257
4.6 0.0495009 -0.123151 -0.134063
4.7 0.047988 -0.0780433 -0.135308
4.8 0.0462944 -0.0219188 -0.136316
4.9 0.0444308 -0.16659 -0.137097
5 0.0424077 -0.141549 -0.137661
5.1 0.0402358 -0.167747 -0.138018
5.2 0.037926 -0.00851741 -0.138179
5.3 0.035489 -0.0522493 -0.138154
5.4 0.0329356 -0.101745 -0.137953
5.5 0.0302764 -0.0505658 -0.137587
5.6 0.027522 -0.115626 -0.137063
5.7 0.0246829 -0.118757 -0.136393
5.8 0.0217694 0.00731987 -0.135585
5.9 0.0187915 -0.110097 -0.134649
6 0.0157591 0.00578251 -0.133593
6.1 0.012682 -0.0258099 -0.132425
6.2 0.00956959 0.0209049 -0.131154
