-2 -0.995322
-1.7 -0.98379
-1.4 -0.952285
-1.1 -0.880205
-0.8 -0.742101
-0.5 -0.5205
-0.2 -0.222702
0.1 0.112463
0.4 0.428392
0.7 0.677801
1 0.842701
1.3 0.934008
1.6 0.976348
1.9 0.99279
-5 NaN -4.27551e+13
-4.85 NaN -0.0743313
-4.7 NaN -0.0535413
-4.55 NaN -0.0560507
-4.4 NaN -0.0740662
-4.25 NaN -0.126177
-4.1 NaN -0.363973
-3.95 NaN 0.901967
-3.8 NaN 0.299632
-3.65 NaN 0.245441
-3.5 NaN 0.270088
-3.35 NaN 0.372281
-3.2 NaN 0.689056
-3.05 NaN 3.14222
-2.9 NaN -1.91843
-2.75 NaN -1.0045
-2.6 NaN -0.888686
-2.45 NaN -1.01095
-2.3 NaN -1.44711
-2.15 NaN -2.99962
-2 NaN nan
-1.85 NaN 3.95566
-1.7 NaN 2.51392
-1.55 NaN 2.30866
-1.4 NaN 2.65927
-1.25 NaN 3.92133
-1.1 NaN 9.71481
-0.95 NaN -20.4948
-0.8 NaN -5.73855
-0.65 NaN -3.91715
-0.5 NaN -3.54491
-0.35 NaN -3.95656
-0.2 NaN -5.82115
-0.05 NaN -20.6291
0.1 NaN 9.51351
0.25 NaN 3.62561
0.4 NaN 2.21816
0.55 NaN 1.61612
0.7 NaN 1.29806
0.85 NaN 1.11248
1 NaN 1
1.15 NaN 0.933041
1.3 NaN 0.897471
1.45 NaN 0.885661
1.6 NaN 0.893515
1.75 NaN 0.919063
1.9 NaN 0.961766
2.05 NaN 1.02218
2.2 NaN 1.1018
2.35 NaN 1.20305
2.5 NaN 1.32934
2.65 NaN 1.48519
2.8 NaN 1.67649
2.95 NaN 1.91077
3.1 NaN 2.19762
3.25 NaN 2.54926
3.4 NaN 2.98121
3.55 NaN 3.51325
3.7 NaN 4.17065
3.85 NaN 4.98573
4 NaN 6
4.15 NaN 7.26687
4.3 NaN 8.85534
4.45 NaN 10.8548
4.6 NaN 13.3813
4.75 NaN 16.5862
4.9 NaN 20.6674
0 NaN NaN nan
0.2 NaN NaN 1.52406
0.4 NaN NaN 0.796678
0.6 NaN NaN 0.398234
0.8 NaN NaN 0.15206
1 NaN NaN -1.09351e-08
1.2 NaN NaN -0.0853741
1.4 NaN NaN -0.119613
1.6 NaN NaN -0.112592
1.8 NaN NaN -0.0710839
2 NaN NaN -1.09351e-08
2.2 NaN NaN 0.0969475
2.4 NaN NaN 0.216859
2.6 NaN NaN 0.357412
2.8 NaN NaN 0.516703
3 NaN NaN 0.693147
3.2 NaN NaN 0.885405
3.4 NaN NaN 1.09233
3.6 NaN NaN 1.31292
3.8 NaN NaN 1.54632
4 NaN NaN 1.79176
4.2 NaN NaN 2.04856
4.4 NaN NaN 2.3161
4.6 NaN NaN 2.59386
4.8 NaN NaN 2.88132
